File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-22-100138_div.txt, recall rate: 0.59, precision rate: 0.73 , F-measure: 0.65 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-22-100142_div.txt, recall rate: 0.74, precision rate: 0.86 , F-measure: 0.80 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-22-100166_div.txt, recall rate: 0.65, precision rate: 0.78 , F-measure: 0.71 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-23-100176_div.txt, recall rate: 0.76, precision rate: 0.87 , F-measure: 0.81 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-23-100178_div.txt, recall rate: 0.66, precision rate: 0.79 , F-measure: 0.72 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-23-100203_div.txt, recall rate: 0.76, precision rate: 0.86 , F-measure: 0.80 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-24-100282_div.txt, recall rate: 0.74, precision rate: 0.84 , F-measure: 0.79 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-25-100300_div.txt, recall rate: 0.70, precision rate: 0.81 , F-measure: 0.75 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-26-100356_div.txt, recall rate: 0.64, precision rate: 0.78 , F-measure: 0.70 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-26-100383_div.txt, recall rate: 0.67, precision rate: 0.78 , F-measure: 0.72 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-26-100386_div.txt, recall rate: 0.73, precision rate: 0.83 , F-measure: 0.78 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-26-100389_div.txt, recall rate: 0.69, precision rate: 0.80 , F-measure: 0.74 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-26-100391_div.txt, recall rate: 0.74, precision rate: 0.85 , F-measure: 0.79 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-26-100406_div.txt, recall rate: 0.71, precision rate: 0.83 , F-measure: 0.76 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-27-100422_div.txt, recall rate: 0.73, precision rate: 0.85 , F-measure: 0.78 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-27-100425_div.txt, recall rate: 0.70, precision rate: 0.82 , F-measure: 0.75 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-27-100426_div.txt, recall rate: 0.80, precision rate: 0.88 , F-measure: 0.84 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-27-100448_div.txt, recall rate: 0.71, precision rate: 0.84 , F-measure: 0.77 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-28-100458_div.txt, recall rate: 0.77, precision rate: 0.87 , F-measure: 0.82 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-28-100467_div.txt, recall rate: 0.79, precision rate: 0.88 , F-measure: 0.83 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-28-100480_div.txt, recall rate: 0.71, precision rate: 0.83 , F-measure: 0.76 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-28-100481_div.txt, recall rate: 0.78, precision rate: 0.87 , F-measure: 0.82 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-28-100482_div.txt, recall rate: 0.69, precision rate: 0.81 , F-measure: 0.75 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-28-100504_div.txt, recall rate: 0.54, precision rate: 0.69 , F-measure: 0.61 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-28-100508_div.txt, recall rate: 0.74, precision rate: 0.85 , F-measure: 0.80 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-28-100509_div.txt, recall rate: 0.66, precision rate: 0.80 , F-measure: 0.72 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-29-100533_div.txt, recall rate: 0.73, precision rate: 0.84 , F-measure: 0.78 
